transaction_id,partner_name,month,year,sale_value,country,region
155,Netofliksu,4,2022,5464257,USA,AMERICAS
156,Amaiziong,7,2023,4554587,USA,AMERICAS
157,Guruguru,9,2022,4269471,Japan,APJ
158,Factsbook,8,2023,5081586,Oman,EMEA
159,Apuru,10,2023,6517168,Uruguay,AMERICAS
160,Netofliksu,10,2022,1129164,Denmark,EMEA
161,Amaiziong,1,2023,9367043,USA,AMERICAS
162,Guruguru,6,2022,2530299,Germany,EMEA
163,Factsbook,11,2022,9341177,Germany,EMEA
164,Apuru,11,2023,4468596,USA,AMERICAS
165,Netofliksu,7,2023,2859408,Denmark,EMEA
166,Amaiziong,1,2023,780203,Denmark,EMEA
167,Guruguru,3,2023,8276164,Oman,EMEA
168,Factsbook,1,2022,7938311,Namibia,EMEA
169,Apuru,12,2023,9932564,Namibia,EMEA
170,Netofliksu,4,2022,8572607,China,GC
171,Amaiziong,7,2022,4896825,Vietnam,APJ
172,Guruguru,5,2022,5610636,Denmark,EMEA
173,Factsbook,9,2023,7454532,Namibia,EMEA
174,Apuru,6,2023,9256101,China,GC
175,Netofliksu,1,2023,1247171,Austria,EMEA
176,Amaiziong,4,2023,8050961,Namibia,EMEA
177,Guruguru,5,2022,8929422,USA,AMERICAS
178,Factsbook,7,2022,5639360,Denmark,EMEA
179,Apuru,1,2023,274080,Uruguay,AMERICAS
180,Netofliksu,8,2022,9670071,Denmark,EMEA
181,Amaiziong,2,2022,3629734,Oman,EMEA
182,Guruguru,2,2023,5595713,Denmark,EMEA
183,Factsbook,10,2023,2311922,Austria,EMEA
184,Apuru,6,2023,525332,Japan,APJ
185,Netofliksu,2,2022,2212166,Vietnam,APJ
186,Amaiziong,12,2023,912804,USA,AMERICAS
187,Guruguru,6,2022,8323558,Austria,EMEA
188,Factsbook,1,2022,4656227,Japan,APJ
189,Apuru,8,2022,5868769,Germany,EMEA
190,Netofliksu,1,2022,9962735,Vietnam,APJ
191,Amaiziong,3,2022,8405163,Japan,APJ
192,Guruguru,2,2023,2097270,Germany,EMEA
193,Factsbook,11,2023,8976891,Vietnam,APJ
194,Apuru,7,2023,1353876,Uruguay,AMERICAS
195,Netofliksu,4,2023,8741439,Vietnam,APJ
196,Amaiziong,2,2023,6508789,Namibia,EMEA
197,Guruguru,3,2023,6821292,Uruguay,AMERICAS
198,Factsbook,6,2023,3869361,Namibia,EMEA
199,Apuru,3,2023,4593914,Germany,EMEA
200,Netofliksu,12,2023,8564177,Vietnam,APJ
201,Amaiziong,6,2023,1869501,Denmark,EMEA
202,Guruguru,2,2022,9096571,Namibia,EMEA
203,Factsbook,10,2023,2468407,Oman,EMEA
204,Apuru,5,2023,9098858,Japan,APJ
205,Netofliksu,8,2022,856306,Denmark,EMEA
206,Amaiziong,3,2023,351896,Japan,APJ
207,Guruguru,11,2022,9950927,Germany,EMEA
208,Factsbook,7,2023,7136075,Oman,EMEA
209,Apuru,10,2022,7916015,USA,AMERICAS
210,Netofliksu,10,2023,2425292,Oman,EMEA
211,Amaiziong,2,2023,7448695,Namibia,EMEA
212,Guruguru,7,2023,915634,Oman,EMEA
213,Factsbook,3,2023,4284210,Austria,EMEA
214,Apuru,7,2022,4816196,Uruguay,AMERICAS
215,Netofliksu,12,2023,9176696,USA,AMERICAS
216,Amaiziong,4,2022,6894610,Japan,APJ
217,Guruguru,1,2022,9368421,Namibia,EMEA
218,Factsbook,10,2023,8553865,Japan,APJ
219,Apuru,7,2023,1200771,Denmark,EMEA
220,Netofliksu,11,2023,5053602,USA,AMERICAS
221,Amaiziong,1,2022,5073078,Japan,APJ
222,Guruguru,8,2023,4877184,Namibia,EMEA
223,Factsbook,3,2022,8546968,Austria,EMEA
224,Apuru,3,2023,8627122,Namibia,EMEA
225,Netofliksu,3,2023,2348650,Denmark,EMEA
226,Amaiziong,5,2022,7442448,Vietnam,APJ
227,Guruguru,12,2022,604983,Oman,EMEA
228,Factsbook,1,2023,5868857,Vietnam,APJ
229,Apuru,6,2023,8865310,Germany,EMEA
230,Netofliksu,12,2023,9438504,Uruguay,AMERICAS
231,Amaiziong,1,2022,589803,USA,AMERICAS
232,Guruguru,4,2023,5365289,Denmark,EMEA
233,Factsbook,6,2023,9754726,Namibia,EMEA
234,Apuru,3,2023,4965429,Oman,EMEA
235,Netofliksu,1,2023,9400133,USA,AMERICAS
236,Amaiziong,7,2023,4964018,Denmark,EMEA
237,Guruguru,8,2023,8444779,Denmark,EMEA
238,Factsbook,12,2022,9394052,Uruguay,AMERICAS
239,Apuru,4,2023,9831204,Japan,APJ
240,Netofliksu,7,2022,5072933,Denmark,EMEA
241,Amaiziong,4,2022,3541436,Uruguay,AMERICAS
242,Guruguru,12,2022,5606951,China,GC
243,Factsbook,1,2023,8202156,Uruguay,AMERICAS
244,Apuru,8,2022,3667016,USA,AMERICAS
245,Netofliksu,10,2023,966081,Namibia,EMEA
246,Amaiziong,3,2023,2581672,China,GC
247,Guruguru,6,2022,2545399,China,GC
248,Factsbook,3,2023,8839476,USA,AMERICAS
249,Apuru,10,2023,9320099,Namibia,EMEA
250,Netofliksu,8,2023,9665712,Namibia,EMEA
251,Amaiziong,3,2023,3468436,Austria,EMEA
252,Guruguru,12,2023,4087064,Japan,APJ
253,Factsbook,6,2023,9920605,USA,AMERICAS
254,Apuru,3,2023,2533135,Japan,APJ
255,Netofliksu,3,2022,6995327,Namibia,EMEA
256,Amaiziong,1,2023,1938524,Denmark,EMEA
257,Guruguru,1,2023,7761307,Uruguay,AMERICAS
258,Factsbook,7,2022,3489160,Austria,EMEA
259,Apuru,1,2022,362648,Japan,APJ
260,Netofliksu,5,2022,387444,Namibia,EMEA
261,Amaiziong,9,2022,4168469,Vietnam,APJ
262,Guruguru,4,2023,3100301,Austria,EMEA
263,Factsbook,5,2023,9610535,Denmark,EMEA
264,Apuru,9,2022,8356761,China,GC
265,Netofliksu,8,2023,9631911,Vietnam,APJ
266,Amaiziong,2,2023,5155295,Namibia,EMEA
267,Guruguru,4,2023,4894833,Austria,EMEA
268,Factsbook,6,2022,6955386,Oman,EMEA
269,Apuru,10,2023,5341321,Austria,EMEA
270,Netofliksu,11,2022,6026877,Uruguay,AMERICAS
271,Amaiziong,9,2022,6278658,Japan,APJ
272,Guruguru,4,2022,3703963,Austria,EMEA
273,Factsbook,12,2023,5761217,Uruguay,AMERICAS
274,Apuru,5,2023,3851108,China,GC
275,Netofliksu,10,2023,7029028,Austria,EMEA
276,Amaiziong,2,2022,2660365,Vietnam,APJ
277,Guruguru,8,2023,402484,Namibia,EMEA
278,Factsbook,6,2022,9446184,Germany,EMEA
279,Apuru,4,2023,8713544,Austria,EMEA
280,Netofliksu,11,2023,146854,Denmark,EMEA
281,Amaiziong,7,2023,6686305,USA,AMERICAS
282,Guruguru,10,2023,2837548,Oman,EMEA
283,Factsbook,1,2023,7900840,Austria,EMEA
284,Apuru,2,2022,5736379,USA,AMERICAS
285,Netofliksu,8,2022,3599513,USA,AMERICAS
286,Amaiziong,8,2023,5579070,Vietnam,APJ
287,Guruguru,12,2022,4650148,USA,AMERICAS
288,Factsbook,11,2023,2254736,Namibia,EMEA
289,Apuru,9,2023,4776951,Oman,EMEA
290,Netofliksu,1,2023,414466,Japan,APJ
291,Amaiziong,6,2023,9869336,Vietnam,APJ
292,Guruguru,5,2023,4865386,China,GC
293,Factsbook,7,2023,5093968,Vietnam,APJ
294,Apuru,9,2022,9603165,Japan,APJ
295,Netofliksu,11,2023,1881084,Austria,EMEA
296,Amaiziong,6,2022,5693780,Germany,EMEA
297,Guruguru,9,2023,1095243,Oman,EMEA
298,Factsbook,3,2023,8704552,Oman,EMEA
299,Apuru,11,2022,5575398,Japan,APJ
300,Netofliksu,5,2022,6100895,Uruguay,AMERICAS
301,Amaiziong,3,2022,603768,Oman,EMEA
302,Guruguru,6,2022,3359400,China,GC
303,Factsbook,12,2022,1930934,Uruguay,AMERICAS
304,Apuru,12,2022,7724602,Vietnam,APJ
305,Netofliksu,8,2022,9468029,Oman,EMEA
306,Amaiziong,2,2022,7634599,Germany,EMEA
307,Guruguru,4,2023,3402918,Germany,EMEA
308,Factsbook,10,2022,5170035,Austria,EMEA
309,Apuru,10,2022,2160128,Denmark,EMEA
310,Netofliksu,10,2023,3163320,Germany,EMEA
311,Amaiziong,12,2022,3656312,USA,AMERICAS
